Model,Accuracy,Class B,Class C,Illegal,Partial,Filter,NotReady,Other err,N scored
Base (no FT),0.32653061224489793,,,,,0,0,0,100
SFT,0.31376518218623484,0.016194331983805668,0.22064777327935223,0.4493927125506073,0.32186234817813764,6,0,0,494
DPO,0.3157894736842105,0.018218623481781375,0.23481781376518218,0.4311740890688259,0.3248987854251012,6,0,0,494
