Model,Accuracy,Class B,Class C,Partial,Filter,NotReady,Other err,N scored
SFT,0.5951417004048583,0.016194331983805668,0.38866396761133604,0.6032388663967612,6,0,0,494
DPO,0.1437246963562753,0.0,0.8562753036437247,0.1437246963562753,6,0,0,494
